城市,日期,平均蒸散量,干旱指数,降水量,土壤湿度,最高温度,最低温度,红光波段,近红外波段,短波红外波段,地表白天温度波段,地表夜晚温度波段,单位产量
安阳,01/10/2002,18.4,-5.57,19.2,3.9,21.29,7.4,1413.461465,2267.329504,2026.871119,55.63855232,53.65364506,5.135
安阳,01/11/2002,0.6,-5.89,0.4,3.7,13.37,0.12,1428.19994,2143.300753,1977.708974,52.37536809,52.00426001,5.135
安阳,01/12/2002,3.1,-4.85,13.8,3.7,3.8,-4.68,3998.765626,4257.44672,1172.382813,49.24321302,45.75729961,5.135
安阳,01/01/2003,2.2,-4.4,3,3.7,4.21,-6.5,1848.942806,2270.767587,1143.634543,51.32350613,49.12840693,5.135
安阳,01/02/2003,19.7,-4.07,9.2,3.6,8.59,-1.51,1830.408711,2341.221764,1690.578353,50.26258077,51.79986599,5.135
安阳,01/03/2003,20.3,-3.78,21.2,3.4,12.85,2.46,1169.928782,2282.224923,1622.764352,54.12484667,52.78450748,5.135
安阳,01/04/2003,50.6,-2.93,53.2,3.3,21,8.48,992.047754,3047.061525,1402.829112,57.11960187,53.77430451,5.135
安阳,01/05/2003,32.2,-2.74,33.8,3.1,27.09,14.98,872.5498819,2772.046076,1365.036017,57.81959913,55.20891438,5.135
安阳,01/10/2003,85.2,4.37,105.2,76.4,21.11,7.67,1528.134872,2354.15977,1880.336593,55.09086037,53.68590625,5.388
安阳,01/11/2003,39.4,4.64,31.7,67.1,11.43,2.03,1636.472729,2242.99431,1867.936787,52.16823773,52.54580983,5.388
安阳,01/12/2003,15.1,4.62,4.4,56.3,7.16,-4.28,1198.549048,1740.947653,1302.005897,52.4536538,48.86972034,5.388
安阳,01/01/2004,3.3,4.1,1.3,54.3,5.39,-6.04,1133.059034,1719.56384,1691.492824,53.45035181,50.48269741,5.388
安阳,01/02/2004,37.9,4.15,11.5,27.3,12.64,-1.05,1263.697888,2026.870081,1868.194239,54.86713264,51.82233012,5.388
安阳,01/03/2004,10.2,3.22,2.1,19.1,15.72,3.25,1154.486702,2688.690787,1618.810294,55.1325351,53.03456857,5.388
安阳,01/04/2004,26.7,2.45,23.7,14.9,24.42,9.92,834.5411651,3161.420435,1208.046686,56.81728871,54.21421059,5.388
安阳,01/05/2004,52.9,2.5,53,12.2,27.75,14.24,1082.155462,2773.316229,1451.56937,57.56955713,54.89686217,5.388
安阳,01/10/2004,25,2.37,4.8,25.1,22.29,7.25,1213.425805,2182.316098,1869.606792,55.79594617,53.66280003,5.352
安阳,01/11/2004,33.3,2.07,27.6,18.1,14.71,2.03,906.7451001,2072.503226,1261.914134,54.54260001,52.44587919,5.352
安阳,01/12/2004,11.8,1.87,9,14.8,6.37,-2.98,3030.447352,3805.823245,991.1332198,51.45120789,48.54055246,5.352
安阳,01/01/2005,0.4,1.5,0.2,14.6,3.69,-7.42,1740.233461,2479.610772,1206.112902,51.17319111,49.02973129,5.352
