城市,日期,平均蒸散量,干旱指数,降水量,土壤湿度,最高温度,最低温度,NDVI,RVI,地表白天温度波段,地表夜晚温度波段,单位产量
安阳,01/10/2002,18.4,-5.57,19.2,3.9,21.29,7.4,0.231979497,1.604097147,55.63855232,53.65364506,
安阳,01/11/2002,0.6,-5.89,0.4,3.7,13.37,0.12,0.200224184,1.500700772,52.37536809,52.00426001,
安阳,01/12/2002,3.1,-4.85,13.8,3.7,3.8,-4.68,0.031331691,1.064690236,49.24321302,45.75729961,
安阳,01/01/2003,2.2,-4.4,3,3.7,4.21,-6.5,0.102391853,1.228143769,51.32350613,49.12840693,
安阳,01/02/2003,19.7,-4.07,9.2,3.6,8.59,-1.51,0.122449257,1.279070488,50.26258077,51.79986599,
安阳,01/03/2003,20.3,-3.78,21.2,3.4,12.85,2.46,0.322203539,1.950738334,54.12484667,52.78450748,
安阳,01/04/2003,50.6,-2.93,53.2,3.3,21,8.48,0.508778948,3.071486743,57.11960187,53.77430451,
安阳,01/05/2003,32.2,-2.74,33.8,3.1,27.09,14.98,0.521181556,3.176948543,57.81959913,55.20891438,5.135
安阳,01/10/2003,85.2,4.37,105.2,76.4,21.11,7.67,0.212767184,1.540544498,55.09086037,53.68590625,
安阳,01/11/2003,39.4,4.64,31.7,67.1,11.43,2.03,0.15634147,1.370627368,52.16823773,52.54580983,
安阳,01/12/2003,15.1,4.62,4.4,56.3,7.16,-4.28,0.18452091,1.452546023,52.4536538,48.86972034,
安阳,01/01/2004,3.3,4.1,1.3,54.3,5.39,-6.04,0.205601943,1.517629522,53.45035181,50.48269741,
安阳,01/02/2004,37.9,4.15,11.5,27.3,12.64,-1.05,0.231927193,1.603919814,54.86713264,51.82233012,
安阳,01/03/2004,10.2,3.22,2.1,19.1,15.72,3.25,0.399201986,2.328905809,55.1325351,53.03456857,
安阳,01/04/2004,26.7,2.45,23.7,14.9,24.42,9.92,0.582307715,3.788213892,56.81728871,54.21421059,
安阳,01/05/2004,52.9,2.5,53,12.2,27.75,14.24,0.438639135,2.562770624,57.56955713,54.89686217,5.388
安阳,01/10/2004,25,2.37,4.8,25.1,22.29,7.25,0.285325069,1.798475102,55.79594617,53.66280003,
