月份,平均蒸散量,最高温度,最低温度,干旱指数,降水量,土壤湿度,播种面积,产量
01/10/2002,35.4785,21.2673,9.3915,-3.26184,34.1601,11.4912,4719.22,2322.35
01/11/2002,13.0863,14.1982,2.58756,-3.89857,12.2575,9.99245,4714.71,2556.63
01/12/2002,17.8625,4.78722,-1.60551,-2.72452,37.9805,21.4689,4891.18,2594.79
01/01/2003,12.2663,6.14869,-4.04292,-2.54349,9.12275,17.9272,5033.79,2869.93
01/02/2003,29.1316,8.74626,-0.133378,-1.90228,35.2445,22.4065,5147.74,3054.29
01/03/2003,42.9237,13.4056,3.87664,-1.4482,48.0525,21.2546,5218.14,3175.9
01/04/2003,69.4424,19.9374,9.72214,-0.675893,95.2374,26.0829,5266.06,3229.43
01/05/2003,62.7834,25.2288,15.42,-0.835986,60.0886,19.2133,5287.86,3256.79
01/10/2003,79.5532,19.9714,9.58029,4.14608,110.085,73.932,5302.13,3279.15
01/11/2003,44.9024,12.3832,3.9659,4.39564,48.9236,70.4999,5343.4,3323.15
01/12/2003,24.2398,7.00931,-1.55226,4.42306,17.7931,62.6869,5388.99,3334.29
01/01/2004,16.5751,5.88304,-3.13983,4.10366,11.7925,56.9635,5422.1,3433.98
01/02/2004,36.8557,12.8112,0.798449,3.63805,18.5606,38.2962,5442.25,3599.73
01/03/2004,37.1024,15.868,4.78209,2.8899,23.1503,23.2735,5482.56,3519.28
01/04/2004,30.0871,23.789,11.0812,0.938528,25.2013,17.1323,5632.71,3695.48
01/05/2004,81.2873,26.6062,14.8732,0.586416,84.2236,15.5084,,
01/10/2004,35.4949,20.8952,9.42839,-0.108722,13.6259,26.4139,,
01/11/2004,39.2681,15.4168,4.02724,-0.230715,37.9914,23.1229,,
01/12/2004,23.6341,7.18595,-0.377946,-0.0098852,23.0828,20.4077,,
01/01/2005,6.13449,4.52011,-4.60201,-0.24857,4.46734,18.4033,,
01/02/2005,15.1931,4.5676,-2.97103,-0.147337,21.2617,20.3724,,
01/03/2005,28.7839,14.6077,2.52796,-0.821167,20.8662,15.4551,,
01/04/2005,54.8295,24.1253,10.8788,-1.56767,56.325,14.0496,,
01/05/2005,65.9478,25.9111,15.7272,-1.80097,68.7684,12.9156,,
01/10/2005,63.3041,20.1881,10.3617,1.53097,44.635,46.5009,,
01/11/2005,34.7622,16.2096,5.77653,1.20154,24.4148,34.4288,,
01/12/2005,11.7944,6.57129,-3.18493,0.872039,3.53525,25.8707,,
01/01/2006,17.936,4.97278,-2.54324,1.02655,23.0225,27.2357,,
01/02/2006,25.2227,7.55901,-0.876313,0.958393,24.7529,25.4959,,
01/03/2006,16.8903,16.983,4.43399,-0.733818,7.30955,17.2698,,
01/04/2006,67.0711,22.545,10.5219,-1.16498,72.9856,18.9067,,
01/05/2006,84.7173,26.6259,15.3858,-1.20734,85.868,15.4888,,
01/10/2006,27.3161,23.558,12.4158,-2.54757,14.0322,20.5054,,
01/11/2006,45.86,15.7026,5.61515,-2.2482,47.9831,20.2291,,
01/12/2006,16.3227,7.57413,-1.23776,-2.09463,13.3926,16.4573,,
01/01/2007,6.38179,6.8301,-3.33468,-2.53888,3.56586,13.4041,,
01/02/2007,28.8034,12.7233,2.10985,-2.52587,35.365,18.0937,,
01/03/2007,57.0402,14.6113,5.49078,-1.88141,62.5513,18.3936,,
01/04/2007,36.2949,21.9607,10.0647,-2.71699,33.9763,13.9985,,
01/05/2007,78.0521,28.9684,16.6378,-2.92211,81.1072,12.5026,,
01/10/2007,42.8661,20.1502,11.0075,-1.06789,34.6043,22.7533,,
01/11/2007,19.4545,14.9514,3.62999,-1.72514,14.1923,16.78,,
01/12/2007,16.4075,7.88122,0.169065,-1.72591,14.9274,14.2975,,
